Entry	Status	Gene names	Organism
Q14392	reviewed	LRRC32 D11S833E	Homo sapiens (Human)
Q8N386	reviewed	LRRC25 MAPA UNQ6169/PRO20174	Homo sapiens (Human)
Q8IX19	reviewed	MCEMP1 C19orf59	Homo sapiens (Human)
Q3KP22	reviewed	MAJIN C11orf85	Homo sapiens (Human)
P33032	reviewed	MC5R	Homo sapiens (Human)
Q9UNW1	reviewed	MINPP1 MIPP UNQ900/PRO1917	Homo sapiens (Human)
O15438	reviewed	ABCC3 CMOAT2 MLP2 MRP3	Homo sapiens (Human)
Q9ULC0	reviewed	EMCN EMCN2 MUC14	Homo sapiens (Human)
P42345	reviewed	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)
Q96S97	reviewed	MYADM UNQ553/PRO1110	Homo sapiens (Human)
Q6PIU2	reviewed	NCEH1 AADACL1 KIAA1363	Homo sapiens (Human)
Q9H7X0	reviewed	NAA60 HAT4 NAT15 UNQ2771/PRO7155	Homo sapiens (Human)
Q6UXI9	reviewed	NPNT EGFL6L POEM UNQ295/PRO334	Homo sapiens (Human)
P03923	reviewed	MT-ND6 MTND6 NADH6 ND6	Homo sapiens (Human)
Q8NGV0	reviewed	OR2Y1	Homo sapiens (Human)
Q9H208	reviewed	OR10A2 OR10A2P	Homo sapiens (Human)
Q99571	reviewed	P2RX4	Homo sapiens (Human)
Q8NH85	reviewed	OR5R1 OR5R1P	Homo sapiens (Human)
Q8NGF6	reviewed	OR10W1 OR10W1P UNQ6469/PRO34070	Homo sapiens (Human)
Q6IF63	reviewed	OR52W1 OR52W1P	Homo sapiens (Human)
Q8NGA8	reviewed	OR4F17 OR4F11P OR4F18 OR4F19	Homo sapiens (Human)
Q8NGL4	reviewed	OR5D13	Homo sapiens (Human)
P0DN80	reviewed	OR5H8 OR5H8P	Homo sapiens (Human)
Q8NHC6	reviewed	OR14L1P OR5AV1P	Homo sapiens (Human)
Q8NH64	reviewed	OR51A7	Homo sapiens (Human)
Q8NGY5	reviewed	OR6N1	Homo sapiens (Human)
Q86WC4	reviewed	OSTM1 GL HSPC019 UNQ6098/PRO21201	Homo sapiens (Human)
O76000	reviewed	OR2B3 OR2B3P	Homo sapiens (Human)
P58170	reviewed	OR1D5	Homo sapiens (Human)
Q9NQN1	reviewed	OR2S2	Homo sapiens (Human)
Q9Y5F9	reviewed	PCDHGB6	Homo sapiens (Human)
Q9HCL0	reviewed	PCDH18 KIAA1562	Homo sapiens (Human)
O14495	reviewed	PLPP3 LPP3 PPAP2B	Homo sapiens (Human)
Q7Z2D5	reviewed	PLPPR4 KIAA0455 LPPR4 PHP1 PRG1	Homo sapiens (Human)
Q92932	reviewed	PTPRN2 KIAA0387	Homo sapiens (Human)
P18084	reviewed	ITGB5	Homo sapiens (Human)
Q14571	reviewed	ITPR2	Homo sapiens (Human)
P56696	reviewed	KCNQ4	Homo sapiens (Human)
P43631	reviewed	KIR2DS2 CD158J NKAT5	Homo sapiens (Human)
Q99706	reviewed	KIR2DL4 CD158D KIR103AS	Homo sapiens (Human)
Q5SVS4	reviewed	SLC25A30 KMCP1	Homo sapiens (Human)
Q9HAP6	reviewed	LIN7B MALS2 VELI2 UNQ3116/PRO10200	Homo sapiens (Human)
Q9UBY5	reviewed	LPAR3 EDG7 LPA3	Homo sapiens (Human)
Q9BTN0	reviewed	LRFN3 SALM4 UNQ5865/PRO34192	Homo sapiens (Human)
Q86UD3	reviewed	MARCHF3 MARCH3 RNF173	Homo sapiens (Human)
Q9NQG1	reviewed	MANBAL	Homo sapiens (Human)
Q09328	reviewed	MGAT5 GGNT5	Homo sapiens (Human)
Q7RTX9	reviewed	SLC16A14 MCT14	Homo sapiens (Human)
Q9NZJ7	reviewed	MTCH1 PSAP CGI-64 UNQ1871/PRO4314	Homo sapiens (Human)
P13591	reviewed	NCAM1 NCAM	Homo sapiens (Human)
P84157	reviewed	MXRA7	Homo sapiens (Human)
O95502	reviewed	NPTXR	Homo sapiens (Human)
Q6W5P4	reviewed	NPSR1 GPR154 GPRA PGR14	Homo sapiens (Human)
Q9H841	reviewed	NIPAL2 NPAL2	Homo sapiens (Human)
O95665	reviewed	NTSR2	Homo sapiens (Human)
Q16620	reviewed	NTRK2 TRKB	Homo sapiens (Human)
Q8NGF7	reviewed	OR5B17 OR5B20P	Homo sapiens (Human)
Q6IF36	reviewed	OR8G2P OR8G2 OR8G4	Homo sapiens (Human)
Q8NH79	reviewed	OR6X1	Homo sapiens (Human)
Q9H2C8	reviewed	OR51V1 OR51A12	Homo sapiens (Human)
Q8NHC5	reviewed	OR14A16 OR5AT1	Homo sapiens (Human)
Q8NGX0	reviewed	OR11L1	Homo sapiens (Human)
Q8NGN1	reviewed	OR6T1	Homo sapiens (Human)
O95013	reviewed	OR4F21 OR4F21P	Homo sapiens (Human)
Q8NH55	reviewed	OR52E5	Homo sapiens (Human)
Q8NGG8	reviewed	OR8B3	Homo sapiens (Human)
A6NND4	reviewed	OR2AT4	Homo sapiens (Human)
O00459	reviewed	PIK3R2	Homo sapiens (Human)
Q9H244	reviewed	P2RY12 HORK3	Homo sapiens (Human)
O75594	reviewed	PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269	Homo sapiens (Human)
Q5EBL8	reviewed	PDZD11 AIPP1 PDZK11 PISP HSPC227 UNQ6486/PRO21335	Homo sapiens (Human)
P26678	reviewed	PLN PLB	Homo sapiens (Human)
Q8IUK5	reviewed	PLXDC1 TEM3 TEM7	Homo sapiens (Human)
Q6T4P5	reviewed	PLPPR3 LPPR3 PHP2 PRG2	Homo sapiens (Human)
P60900	reviewed	PSMA6 PROS27	Homo sapiens (Human)
P21246	reviewed	PTN HBNF1 NEGF1	Homo sapiens (Human)
Q4VNC1	reviewed	ATP13A4 UNQ3052/PRO9871	Homo sapiens (Human)
Q99712	reviewed	KCNJ15 KCNJ14	Homo sapiens (Human)
Q9NPA1	reviewed	KCNMB3 KCNMB2 KCNMBL	Homo sapiens (Human)
Q9UK17	reviewed	KCND3	Homo sapiens (Human)
P48544	reviewed	KCNJ5 GIRK4	Homo sapiens (Human)
Q8N3Y3	reviewed	LARGE2 GYLTL1B PP5656	Homo sapiens (Human)
Q14114	reviewed	LRP8 APOER2	Homo sapiens (Human)
Q9BY71	reviewed	LRRC3 C21orf102 LRRC3A UNQ9233/PRO31982	Homo sapiens (Human)
Q8WVP7	reviewed	LMBR1 C7orf2 DIF14	Homo sapiens (Human)
Q86W92	reviewed	PPFIBP1 KIAA1230	Homo sapiens (Human)
Q7Z7M0	reviewed	MEGF8 C19orf49 EGFL4 KIAA0817	Homo sapiens (Human)
P0DMT0	reviewed	MRLN MLN	Homo sapiens (Human)
P51512	reviewed	MMP16 C8orf57 MMPX2	Homo sapiens (Human)
Q8IXI1	reviewed	RHOT2 ARHT2 C16orf39	Homo sapiens (Human)
O15374	reviewed	SLC16A4 MCT4 MCT5	Homo sapiens (Human)
Q9P0J0	reviewed	NDUFA13 GRIM19 CDA016 CGI-39	Homo sapiens (Human)
Q13224	reviewed	GRIN2B NMDAR2B	Homo sapiens (Human)
Q12879	reviewed	GRIN2A NMDAR2A	Homo sapiens (Human)
Q9GZQ6	reviewed	NPFFR1 GPR147 NPFF1	Homo sapiens (Human)
Q9Y639	reviewed	NPTN SDFR1 SDR1	Homo sapiens (Human)
Q9NZ94	reviewed	NLGN3 KIAA1480 NL3	Homo sapiens (Human)
Q8NGN0	reviewed	OR4D5	Homo sapiens (Human)
O95158	reviewed	NXPH4 NPH4 UNQ1928/PRO4403	Homo sapiens (Human)
Q96R72	reviewed	OR4K3 OR4K3P	Homo sapiens (Human)
Q8NGD0	reviewed	OR4M1	Homo sapiens (Human)
Q6UWF7	reviewed	NXPE4 C11orf33 FAM55D UNQ3018/PRO9799	Homo sapiens (Human)
Q8NH73	reviewed	OR4S2 OR4S2P	Homo sapiens (Human)
Q8NGL6	reviewed	OR4A15	Homo sapiens (Human)
Q96SN7	reviewed	ORAI2 C7orf19 CBCIP2 TMEM142B PP1729	Homo sapiens (Human)
Q8NGE7	reviewed	OR9K2	Homo sapiens (Human)
Q96RB7	reviewed	OR5M11	Homo sapiens (Human)
Q8NGE2	reviewed	OR2AP1 OR2AP1P	Homo sapiens (Human)
Q8NGC4	reviewed	OR10G3	Homo sapiens (Human)
Q9H255	reviewed	OR51E2 PSGR	Homo sapiens (Human)
O43613	reviewed	HCRTR1	Homo sapiens (Human)
Q8NGZ4	reviewed	OR2G3	Homo sapiens (Human)
Q8NH06	reviewed	OR1P1 OR1P1P	Homo sapiens (Human)
Q5PT55	reviewed	SLC10A5	Homo sapiens (Human)
Q9Y5E2	reviewed	PCDHB7	Homo sapiens (Human)
Q5H8A4	reviewed	PIGG GPI7 UNQ1930/PRO4405	Homo sapiens (Human)
Q01453	reviewed	PMP22 GAS3	Homo sapiens (Human)
Q6UW63	reviewed	POGLUT2 EP58 KDELC1 UNQ1910/PRO4357	Homo sapiens (Human)
Q96GM1	reviewed	PLPPR2 LPPR2 PRG4	Homo sapiens (Human)
O00444	reviewed	PLK4 SAK STK18	Homo sapiens (Human)
Q9Y342	reviewed	PLLP PMLP TM4SF11	Homo sapiens (Human)
P40306	reviewed	PSMB10 LMP10 MECL1	Homo sapiens (Human)
P28066	reviewed	PSMA5	Homo sapiens (Human)
Q9BQR3	reviewed	PRSS27 MPN UNQ1884/PRO4327	Homo sapiens (Human)
Q15825	reviewed	CHRNA6	Homo sapiens (Human)
Q5JQC9	reviewed	AKAP4 AKAP82	Homo sapiens (Human)
Q7Z7M1	reviewed	ADGRD2 GPR144 PGR24	Homo sapiens (Human)
Q01718	reviewed	MC2R ACTHR	Homo sapiens (Human)
O00468	reviewed	AGRN AGRIN	Homo sapiens (Human)
P05026	reviewed	ATP1B1 ATP1B	Homo sapiens (Human)
Q9NPF7	reviewed	IL23A SGRF UNQ2498/PRO5798	Homo sapiens (Human)
Q5VWK5	reviewed	IL23R	Homo sapiens (Human)
P32927	reviewed	CSF2RB IL3RB IL5RB	Homo sapiens (Human)
Q8WXH2	reviewed	JPH3 JP3 TNRC22	Homo sapiens (Human)
P60985	reviewed	KRTDAP KDAP UNQ467/PRO826	Homo sapiens (Human)
B7U540	reviewed	KCNJ18	Homo sapiens (Human)
Q9NPC2	reviewed	KCNK9 TASK3	Homo sapiens (Human)
P14151	reviewed	SELL LNHR LYAM1	Homo sapiens (Human)
Q86UE6	reviewed	LRRTM1 UNQ675/PRO1309	Homo sapiens (Human)
Q6UX01	reviewed	LMBR1L KIAA1174 LIMR UNQ458/PRO783	Homo sapiens (Human)
Q9UEW3	reviewed	MARCO SCARA2	Homo sapiens (Human)
Q8N5G2	reviewed	MACO1 TMEM57	Homo sapiens (Human)
Q9Y5Y7	reviewed	LYVE1 CRSBP1 HAR XLKD1 UNQ230/PRO263	Homo sapiens (Human)
Q9UPX6	reviewed	MINAR1 KIAA1024 UBTOR	Homo sapiens (Human)
O75439	reviewed	PMPCB MPPB	Homo sapiens (Human)
Q13505	reviewed	MTX1 MTX MTXN	Homo sapiens (Human)
Q96DR8	reviewed	MUCL1 SBEM UNQ590/PRO1160	Homo sapiens (Human)
Q96IZ2	reviewed	ADTRP C6orf105	Homo sapiens (Human)
O43184	reviewed	ADAM12 MLTN UNQ346/PRO545	Homo sapiens (Human)
Q6UX46	reviewed	ALKAL2 FAM150B UNQ542/PRO1097	Homo sapiens (Human)
Q96K78	reviewed	ADGRG7 GPR128	Homo sapiens (Human)
Q8TD06	reviewed	AGR3 BCMP11 PDIA18 UNQ642/PRO1272	Homo sapiens (Human)
Q8NCL9	reviewed	APCDD1L	Homo sapiens (Human)
A1A5B4	reviewed	ANO9 PIG5 TMEM16J TP53I5	Homo sapiens (Human)
Q15389	reviewed	ANGPT1 KIAA0003	Homo sapiens (Human)
P39086	reviewed	GRIK1 GLUR5	Homo sapiens (Human)
A8MPY1	reviewed	GABRR3	Homo sapiens (Human)
P63218	reviewed	GNG5 GNGT5	Homo sapiens (Human)
Q8TDV2	reviewed	GPR148 BTR PGR6	Homo sapiens (Human)
Q86SP6	reviewed	GPR149 PGR10	Homo sapiens (Human)
Q16538	reviewed	GPR162 GRCA	Homo sapiens (Human)
P38405	reviewed	GNAL	Homo sapiens (Human)
Q96D42	reviewed	HAVCR1 KIM1 TIM1 TIMD1	Homo sapiens (Human)
Q3T906	reviewed	GNPTAB GNPTA KIAA1208	Homo sapiens (Human)
Q8TDS4	reviewed	HCAR2 GPR109A HCA2 HM74A NIACR1	Homo sapiens (Human)
Q9Y241	reviewed	HIGD1A HIG1 HSPC010	Homo sapiens (Human)
Q9Y661	reviewed	HS3ST4 3OST4	Homo sapiens (Human)
A1L1A6	reviewed	IGSF23	Homo sapiens (Human)
Q96T52	reviewed	IMMP2L	Homo sapiens (Human)
Q9NRX6	reviewed	TMEM167B C1orf119 AD-020	Homo sapiens (Human)
Q12809	reviewed	KCNH2 ERG ERG1 HERG	Homo sapiens (Human)
Q9NSA2	reviewed	KCND1	Homo sapiens (Human)
O95069	reviewed	KCNK2 TREK TREK1	Homo sapiens (Human)
Q9HB15	reviewed	KCNK12	Homo sapiens (Human)
O95970	reviewed	LGI1 EPT UNQ775/PRO1569	Homo sapiens (Human)
Q6UWM7	reviewed	LCTL KLPH UNQ3022/PRO9820	Homo sapiens (Human)
Q6UXM1	reviewed	LRIG3 LIG3 UNQ287/PRO326/PRO335	Homo sapiens (Human)
Q8N423	reviewed	LILRB2 ILT4 LIR2 MIR10	Homo sapiens (Human)
P43657	reviewed	LPAR6 P2RY5	Homo sapiens (Human)
Q969L2	reviewed	MAL2	Homo sapiens (Human)
Q9Y2A7	reviewed	NCKAP1 HEM2 KIAA0587 NAP1	Homo sapiens (Human)
Q16617	reviewed	NKG7 GIG1	Homo sapiens (Human)
Q8NA29	reviewed	MFSD2A MFSD2 NLS1 HMFN0656 PP9177 UNQ300/PRO341	Homo sapiens (Human)
Q9H013	reviewed	ADAM19 MLTNB FKSG34	Homo sapiens (Human)
P84077	reviewed	ARF1	Homo sapiens (Human)
P32121	reviewed	ARRB2 ARB2 ARR2	Homo sapiens (Human)
O14653	reviewed	GOSR2 GS27	Homo sapiens (Human)
Q9Y3E0	reviewed	GOLT1B GCT2 GOT1A CGI-141 HDCMA39P UNQ432/PRO793	Homo sapiens (Human)
Q76N89	reviewed	HECW1 KIAA0322 NEDL1	Homo sapiens (Human)
P25092	reviewed	GUCY2C GUC2C STAR	Homo sapiens (Human)
Q8TDB4	reviewed	MGARP C4orf49 CESP1 HUMMR OSAP GS3582	Homo sapiens (Human)
P48551	reviewed	IFNAR2 IFNABR IFNARB	Homo sapiens (Human)
Q9HB29	reviewed	IL1RL2 IL1RRP2	Homo sapiens (Human)
Q01113	reviewed	IL9R	Homo sapiens (Human)
Q8N6L0	reviewed	KASH5 CCDC155	Homo sapiens (Human)
Q9ULS6	reviewed	KCNS2 KIAA1144	Homo sapiens (Human)
Q9NYG8	reviewed	KCNK4 TRAAK	Homo sapiens (Human)
Q92604	reviewed	LPGAT1 FAM34A KIAA0205	Homo sapiens (Human)
Q8N8F7	reviewed	LSMEM1 C7orf53	Homo sapiens (Human)
P22888	reviewed	LHCGR LCGR LGR2 LHRHR	Homo sapiens (Human)
Q7Z553	reviewed	MDGA2 MAMDC1 UNQ8188/PRO23197	Homo sapiens (Human)
Q6ZNC8	reviewed	MBOAT1 OACT1	Homo sapiens (Human)
Q96T53	reviewed	MBOAT4 GOAT OACT4 FKSG89	Homo sapiens (Human)
O75900	reviewed	MMP23B MMP21 MMP22	Homo sapiens (Human)
Q96ES6	reviewed	MFSD3	Homo sapiens (Human)
Q14728	reviewed	MFSD10 TETRAN	Homo sapiens (Human)
Q9UM21	reviewed	MGAT4A	Homo sapiens (Human)
Q96PD6	reviewed	MOGAT1 DC2 DGAT2L1	Homo sapiens (Human)
Q9H195	reviewed	MUC3B	Homo sapiens (Human)
Q02505	reviewed	MUC3A MUC3	Homo sapiens (Human)
Q9Y3Q0	reviewed	NAALAD2	Homo sapiens (Human)
Q9UNA3	reviewed	A4GNT	Homo sapiens (Human)
Q9NP78	reviewed	ABCB9 KIAA1520	Homo sapiens (Human)
P16066	reviewed	NPR1 ANPRA	Homo sapiens (Human)
Q7L4S7	reviewed	ARMCX6	Homo sapiens (Human)
Q9NQ11	reviewed	ATP13A2 PARK9	Homo sapiens (Human)
P29992	reviewed	GNA11 GA11	Homo sapiens (Human)
Q2KHT4	reviewed	GSG1 UNQ709/PRO1360	Homo sapiens (Human)
Q8TD20	reviewed	SLC2A12 GLUT12	Homo sapiens (Human)
A8MVS5	reviewed	HIDE1 C19orf38	Homo sapiens (Human)
P15260	reviewed	IFNGR1	Homo sapiens (Human)
P35568	reviewed	IRS1	Homo sapiens (Human)
Q8IYV9	reviewed	IZUMO1	Homo sapiens (Human)
Q96KK3	reviewed	KCNS1	Homo sapiens (Human)
Q06136	reviewed	KDSR FVT1 SDR35C1	Homo sapiens (Human)
Q92953	reviewed	KCNB2	Homo sapiens (Human)
P48547	reviewed	KCNC1	Homo sapiens (Human)
Q96L42	reviewed	KCNH8	Homo sapiens (Human)
P48051	reviewed	KCNJ6 GIRK2 KATP2 KCNJ7	Homo sapiens (Human)
Q9HBX8	reviewed	LGR6 UNQ6427/PRO21331 VTS20631	Homo sapiens (Human)
P62502	reviewed	LCN6 LCN5 UNQ643/PRO1273	Homo sapiens (Human)
Q6UXK5	reviewed	LRRN1 KIAA1497 Nbla10449 UNQ693/PRO1338	Homo sapiens (Human)
O60476	reviewed	MAN1A2 MAN1B	Homo sapiens (Human)
Q96PG2	reviewed	MS4A10 CD20L7 MS4A9	Homo sapiens (Human)
Q9BY79	reviewed	MFRP	Homo sapiens (Human)
Q96G30	reviewed	MRAP2 C6orf117	Homo sapiens (Human)
Q3SYC2	reviewed	MOGAT2 DC5 DGAT2L5	Homo sapiens (Human)
Q9H3V2	reviewed	MS4A5 CD20L2 TETM4	Homo sapiens (Human)
Q9HD23	reviewed	MRS2 HPT MRS2L	Homo sapiens (Human)
O43193	reviewed	MLNR GPR38 MTLR MTLR1	Homo sapiens (Human)
Q9NZM1	reviewed	MYOF FER1L3 KIAA1207	Homo sapiens (Human)
O95803	reviewed	NDST3 HSST3 UNQ2544/PRO4998	Homo sapiens (Human)
Q06495	reviewed	SLC34A1 NPT2 SLC17A2	Homo sapiens (Human)
Q9HBY0	reviewed	NOX3 MOX2	Homo sapiens (Human)
O14745	reviewed	SLC9A3R1 NHERF NHERF1	Homo sapiens (Human)
P50391	reviewed	NPY4R PPYR1	Homo sapiens (Human)
Q92542	reviewed	NCSTN KIAA0253 UNQ1874/PRO4317	Homo sapiens (Human)
Q9NXE4	reviewed	SMPD4 KIAA1418 SKNY	Homo sapiens (Human)
Q15738	reviewed	NSDHL H105E3	Homo sapiens (Human)
Q14246	reviewed	ADGRE1 EMR1 TM7LN3	Homo sapiens (Human)
Q8IZF6	reviewed	ADGRG4 GPR112	Homo sapiens (Human)
P02649	reviewed	APOE	Homo sapiens (Human)
P48546	reviewed	GIPR	Homo sapiens (Human)
O95800	reviewed	GPR75	Homo sapiens (Human)
Q6W3E5	reviewed	GDPD4 GDE6 UGPQ	Homo sapiens (Human)
Q13304	reviewed	GPR17	Homo sapiens (Human)
Q14833	reviewed	GRM4 GPRC1D MGLUR4	Homo sapiens (Human)
Q8IUY3	reviewed	GRAMD2A GRAMD2	Homo sapiens (Human)
P24394	reviewed	IL4R IL4RA 582J2.1	Homo sapiens (Human)
Q9H665	reviewed	IGFLR1 TMEM149 U2AF1L4	Homo sapiens (Human)
P01880	reviewed	IGHD	Homo sapiens (Human)
P18564	reviewed	ITGB6	Homo sapiens (Human)
P08514	reviewed	ITGA2B GP2B ITGAB	Homo sapiens (Human)
Q9H2S1	reviewed	KCNN2	Homo sapiens (Human)
P19256	reviewed	CD58 LFA3	Homo sapiens (Human)
Q8N8R3	reviewed	SLC25A29 C14orf69 ORNT3	Homo sapiens (Human)
O00339	reviewed	MATN2 UNQ193/PRO219	Homo sapiens (Human)
A6NDP7	reviewed	MYADML2	Homo sapiens (Human)
Q7RTY0	reviewed	SLC16A13 MCT13	Homo sapiens (Human)
O60487	reviewed	MPZL2 EVA EVA1 UNQ606/PRO1192	Homo sapiens (Human)
P11717	reviewed	IGF2R MPRI	Homo sapiens (Human)
Q9UHF3	reviewed	NAT8B CML2	Homo sapiens (Human)
Q58DX5	reviewed	NAALADL2	Homo sapiens (Human)
B2RTY4	reviewed	MYO9A MYR7	Homo sapiens (Human)
Q9UK23	reviewed	NAGPA	Homo sapiens (Human)
P32418	reviewed	SLC8A1 CNC NCX1	Homo sapiens (Human)
O60721	reviewed	SLC24A1 KIAA0702 NCKX1	Homo sapiens (Human)
O95169	reviewed	NDUFB8	Homo sapiens (Human)
Q9UI40	reviewed	SLC24A2 NCKX2	Homo sapiens (Human)
Q05586	reviewed	GRIN1 NMDAR1	Homo sapiens (Human)
O00483	reviewed	NDUFA4	Homo sapiens (Human)
Q9NV92	reviewed	NDFIP2 KIAA1165 N4WBP5A	Homo sapiens (Human)
P29371	reviewed	TACR3 NK3R TAC3R	Homo sapiens (Human)
Q9Y4C0	reviewed	NRXN3 C14orf60 KIAA0743	Homo sapiens (Human)
Q9P2S2	reviewed	NRXN2 KIAA0921	Homo sapiens (Human)
Q8NH72	reviewed	OR4C6	Homo sapiens (Human)
Q8NGN8	reviewed	OR4A4P	Homo sapiens (Human)
Q8NH07	reviewed	OR11H2 C14orf15 OR11H2P	Homo sapiens (Human)
Q8NH43	reviewed	OR4L1 OR4L2P	Homo sapiens (Human)
Q8NGV7	reviewed	OR5H2	Homo sapiens (Human)
Q8NGI1	reviewed	OR56B2P	Homo sapiens (Human)
Q9H340	reviewed	OR51B6	Homo sapiens (Human)
Q8NGU2	reviewed	OR9A4	Homo sapiens (Human)
Q8NGX6	reviewed	OR10R2	Homo sapiens (Human)
P78380	reviewed	OLR1 CLEC8A LOX1	Homo sapiens (Human)
Q96G91	reviewed	P2RY11	Homo sapiens (Human)
P39656	reviewed	DDOST KIAA0115 OST48 OK/SW-cl.45	Homo sapiens (Human)
Q96P68	reviewed	OXGR1 GPR80 GPR99 P2RY15 P2Y15	Homo sapiens (Human)
Q6PK18	reviewed	OGFOD3 C17orf101	Homo sapiens (Human)
O76001	reviewed	OR2J3	Homo sapiens (Human)
Q8NH16	reviewed	OR2L2 OR2L12 OR2L4P	Homo sapiens (Human)
Q2M3G0	reviewed	ABCB5	Homo sapiens (Human)
Q9NP58	reviewed	ABCB6 MTABC3 PRP UMAT	Homo sapiens (Human)
P48960	reviewed	ADGRE5 CD97	Homo sapiens (Human)
P00846	reviewed	MT-ATP6 ATP6 ATPASE6 MTATP6	Homo sapiens (Human)
O00602	reviewed	FCN1 FCNM	Homo sapiens (Human)
P12318	reviewed	FCGR2A CD32 FCG2 FCGR2A1 IGFR2	Homo sapiens (Human)
Q7Z6J6	reviewed	FRMD5	Homo sapiens (Human)
Q5SZK8	reviewed	FREM2	Homo sapiens (Human)
P09958	reviewed	FURIN FUR PACE PCSK3	Homo sapiens (Human)
O60353	reviewed	FZD6	Homo sapiens (Human)
Q6ZNI0	reviewed	GCNT7 C20orf105	Homo sapiens (Human)
O95249	reviewed	GOSR1 GS28	Homo sapiens (Human)
Q7L5L3	reviewed	GDPD3 GDE7	Homo sapiens (Human)
Q9UBI6	reviewed	GNG12	Homo sapiens (Human)
Q6NV75	reviewed	GPR153 PGR1	Homo sapiens (Human)
Q53EU6	reviewed	GPAT3 AGPAT9 MAG1 HMFN0839 UNQ2753/PRO6492	Homo sapiens (Human)
Q14956	reviewed	GPNMB HGFIN NMB UNQ1725/PRO9925	Homo sapiens (Human)
Q9NX62	reviewed	BPNT2 IMPA3 IMPAD1	Homo sapiens (Human)
Q9NPH3	reviewed	IL1RAP C3orf13 IL1R3	Homo sapiens (Human)
Q6UXV1	reviewed	IZUMO2 C19orf41 SCRL UNQ6978/PRO21961	Homo sapiens (Human)
Q14003	reviewed	KCNC3	Homo sapiens (Human)
Q96PC5	reviewed	MIA2 CTAGE5 MEA11 MEA6 MGEA11 MGEA6	Homo sapiens (Human)
P49286	reviewed	MTNR1B	Homo sapiens (Human)
Q9Y6C9	reviewed	MTCH2 MIMP HSPC032	Homo sapiens (Human)
Q8TB73	reviewed	NDNF C4orf31 UNQ2748/PRO6487	Homo sapiens (Human)
P0C645	reviewed	OR4E1 OR4E1P	Homo sapiens (Human)
Q8NGK5	reviewed	OR52M1 OR52M1P	Homo sapiens (Human)
P0DN82	reviewed	OR12D1 OR12D1P	Homo sapiens (Human)
Q8NGS4	reviewed	OR13F1	Homo sapiens (Human)
Q96HA1	reviewed	POM121 KIAA0618 NUP121 POM121A	Homo sapiens (Human)
P30559	reviewed	OXTR	Homo sapiens (Human)
Q6IFN5	reviewed	OR7E24 OR7E24P	Homo sapiens (Human)
Q9BUJ0	reviewed	ABHD14A UNQ1913/PRO4373	Homo sapiens (Human)
Q86UQ4	reviewed	ABCA13	Homo sapiens (Human)
P47898	reviewed	HTR5A	Homo sapiens (Human)
P08912	reviewed	CHRM5	Homo sapiens (Human)
P35612	reviewed	ADD2 ADDB	Homo sapiens (Human)
P60709	reviewed	ACTB	Homo sapiens (Human)
Q96PE1	reviewed	ADGRA2 GPR124 KIAA1531 TEM5	Homo sapiens (Human)
Q9NR71	reviewed	ASAH2 HNAC1	Homo sapiens (Human)
P98194	reviewed	ATP2C1 KIAA1347 PMR1L HUSSY-28	Homo sapiens (Human)
Q9BY08	reviewed	EBPL EBRP ERP	Homo sapiens (Human)
O42043	reviewed	ERVK-18	Homo sapiens (Human)
Q15375	reviewed	EPHA7 EHK3 HEK11	Homo sapiens (Human)
O75844	reviewed	ZMPSTE24 FACE1 STE24	Homo sapiens (Human)
Q3ZCQ3	reviewed	FAM174B	Homo sapiens (Human)
Q96LA5	reviewed	FCRL2 FCRH2 IFGP4 IRTA4 SPAP1 UNQ9236/PRO31998	Homo sapiens (Human)
Q8NAU1	reviewed	FNDC5 FRCP2	Homo sapiens (Human)
P24071	reviewed	FCAR CD89	Homo sapiens (Human)
Q9NRD0	reviewed	FBXO8 FBS FBX8 DC10 UNQ1877/PRO4320	Homo sapiens (Human)
A8MWK0	reviewed	FADS2B FADS2P1	Homo sapiens (Human)
Q8NCL4	reviewed	GALNT6	Homo sapiens (Human)
Q14393	reviewed	GAS6 AXLLG	Homo sapiens (Human)
Q9P109	reviewed	GCNT4	Homo sapiens (Human)
Q96PP8	reviewed	GBP5 UNQ2427/PRO4987	Homo sapiens (Human)
P63215	reviewed	GNG3 GNGT3	Homo sapiens (Human)
Q8TDT2	reviewed	GPR152 PGR5	Homo sapiens (Human)
P62993	reviewed	GRB2 ASH	Homo sapiens (Human)
P02724	reviewed	GYPA GPA	Homo sapiens (Human)
Q7Z3D6	reviewed	DGLUCY C14orf159 UNQ2439/PRO5000	Homo sapiens (Human)
Q86UQ5	reviewed	GTSCR1	Homo sapiens (Human)
Q9BQS7	reviewed	HEPH KIAA0698 UNQ2562/PRO6242	Homo sapiens (Human)
Q2M3T9	reviewed	HYAL4	Homo sapiens (Human)
Q8IZT8	reviewed	HS3ST5 3OST5 HS3OST5	Homo sapiens (Human)
O00219	reviewed	HAS3	Homo sapiens (Human)
Q71H61	reviewed	ILDR2 C1orf32	Homo sapiens (Human)
Q01628	reviewed	IFITM3	Homo sapiens (Human)
P08069	reviewed	IGF1R	Homo sapiens (Human)
Q969J5	reviewed	IL22RA2 UNQ5793/PRO19598/PRO19822	Homo sapiens (Human)
Q12912	reviewed	IRAG2 JAW1 LRMP	Homo sapiens (Human)
